id,name,mainFood,subFood,skill,taste,difficulty,time
34,虾仁荷塘小炒营养师小菜妈妈,"[荷兰豆,黑木耳,莲藕,虾仁]",[盐],炒,家常味,新手尝试,30
35,暖人心的香肠煲仔饭,"[大米,香肠]","[胡椒粉,白糖,鸡蛋,花生油,酱油,盐,蚝油,生姜,大葱]",煮,家常味,新手尝试,15
36,卤肉饭,"[猪肉,大米]","[桂皮,大蒜,生姜,大葱,八角,香叶,冰糖,酱油,香菇,鸡蛋,料酒,五香粉,花椒,花生油]",烧,家常味,未知,2
37,油炒鸭胗,[鸭胗],"[花生油,生姜,大蒜,盐,料酒,蚝油,豆瓣酱]",炒,家常味,初中水平,15
38,白糖醋豆腐丸子,[豆腐],"[白糖,胡萝卜,香菇,火腿,鸡蛋,醋,蚝油,番茄酱,大葱,盐,鸡精,酱油,淀粉]",炸,酸甜味,未知,30
39,京酱猪肉,"[猪肉,黄瓜]","[花生油,豆腐皮,豆瓣酱,料酒,大葱,盐,小葱,胡椒粉,淀粉,酱油,白糖]",炒,酱香味,初中水平,30
40,荷塘小炒,"[莲藕,黑木耳,荷兰豆]","[大葱,大蒜,盐,花生油,酱油,鸡精]",炒,家常味,新手尝试,5
41,菠菜猪肝汤,"[猪肝,菠菜]","[花生油,料酒,淀粉,盐,鸡精,生姜]",烧,家常味,初级入门,5
42,家常炖菜,"[猪肉,娃娃菜,粉条,豆腐干]","[花生油,大葱,盐,生姜,八角,花椒,料酒,醋,酱油]",炒,家常味,未知,30
43,素炒腐竹,[腐竹],"[大葱,青椒,花生油,盐,酱油,蚝油]",炒,家常味,初级入门,5
44,电饭煲焖鸡爪,[鸡爪],"[花生油,盐,豆瓣酱,大葱,生姜,料酒,酱油,八角,花椒]",焖,麻辣味,中级掌勺,30
45,焖黄花鱼,[黄花鱼],"[花生油,酱油,大葱,盐,料酒,桂皮,香叶,八角,花椒]",炖,家常味,新手尝试,30
46,香辣小炒肚丝,"[猪肚,辣椒]","[大葱,生姜,蚝油,酱油,盐,花生油]",炒,香辣味,新手尝试,10
47,料酒炖猪蹄,[猪蹄],"[大葱,干辣椒,生姜,料酒,八角,花椒,桂皮,盐,酱油,冰糖,花生油]",炖,家常味,初级入门,60
48,奶香咖喱鸡,"[鸡肉,咖喱]","[牛奶,西红柿,生菜,淀粉,鸡蛋,花生油,番茄酱,芥末,盐,胡椒粉,大葱,生姜,大蒜,面包]",炸,奶香味,初级入门,90
49,猪肉生煎包,"[猪肉,小麦面粉]","[鸡蛋,花生油,黑芝麻,大葱,苏打粉,白糖,料酒,酱油,盐]",煎,咸鲜味,中级掌勺,90
50,煎明太鱼,[明太鱼],"[花生油,豆瓣酱,料酒,盐,酱油]",煎,咸鲜味,未知,10
51,泡菜烧鸭血,"[泡菜,鸭血]","[花生油,粉条,盐,生姜,花椒,鸡精]",炒,酸辣味,初中水平,15
52,猪肉粉丝泡菜,"[猪肉,泡菜,粉丝]","[酱油,生姜,盐,料酒,辣椒]",炒,酸辣味,未知,30
53,韭菜鸡蛋炒粉丝,"[韭菜,粉丝,鸡蛋]","[花生油,酱油,蚝油,白糖,盐]",炒,家常味,未知,10
54,地三鲜,"[土豆,茄子,甜椒]","[花生油,盐,酱油,大葱,大蒜,淀粉,白糖,料酒,醋,蚝油,花椒,生姜]",烤,咸鲜味,初级入门,30
55,京酱猪肉,"[猪肉,黄瓜]","[豆瓣酱,豆腐皮,大葱,小葱,料酒,花生油,淀粉,盐,酱油,芝麻,白糖]",炒,咸鲜味,初级入门,10
56,千张拌黄豆芽,"[绿豆芽,豆腐皮]","[大葱,胡萝卜,醋,酱油,白糖,芝麻,辣椒油,盐,花生油]",拌,香辣味,新手尝试,10
57,自制潮式牛蹄筋丸,[牛肉],"[盐,鱼露,白糖,鸡精,苏打粉,胡椒粉,粉条,花生油]",煮,咸鲜味,初级入门,10
58,腐竹烧牛腩,"[牛腩,腐竹]","[花生油,青椒,大葱,生姜,大蒜,八角,冰糖,香叶,干辣椒,豆瓣酱]",烧,家常味,新手尝试,15
59,香肠炒饭便当,"[大米,香肠]","[鸡蛋,玉米,豌豆,胡萝卜,秋葵,西兰花,培根,盐,酱油,花生油]",炒,咸鲜味,初级入门,30
60,樱桃肉,[猪肉],"[淀粉,番茄酱,花生油,盐,山楂,冰糖,料酒]",砂锅,酸甜味,初级入门,15
61,爆炒腰花,[猪腰],"[生姜,大葱,大蒜,辣椒,花椒,醋,花生油,淀粉,盐,鸡精,料酒]",炒,家常味,新手尝试,5
62,蚝油烧双茄,"[西红柿,茄子,蚝油]","[花生油,盐,大葱]",烧,咸鲜味,初级入门,15
63,开胃河虾,[河虾],"[花生油,盐,白糖,醋,酱油,蚝油,生姜,大蒜]",炒,酸甜味,新手尝试,5
64,扁豆塞肉,"[扁豆,猪肉]","[花生油,盐,酱油,白糖,大葱,料酒]",烧,咸鲜味,新手尝试,10
65,南瓜盅,[南瓜],"[花生油,虾仁,香肠,青豆,胡萝卜,西兰花,盐,番茄酱,淀粉,鸡精]",炒,咸鲜味,未知,30
66,九转大肠,"[猪大肠,小麦面粉]","[大葱,香叶,花生油,八角,花椒,料酒,醋,白糖,盐,胡椒粉]",烧,酸甜味,新手尝试,5
67,老北京烧饼夹烤肉,"[小麦面粉,牛肉]","[苏打粉,盐,花椒,大葱,酱油,淀粉]",煎,家常味,初级入门,90
68,凉拌毛豆,[毛豆],"[花生油,大蒜,生姜,干辣椒,花椒,酱油,鸡精,白糖,胡椒粉,醋,盐]",拌,酸辣味,新手尝试,15
69,红烧鱼块,[鲢鱼],"[花生油,料酒,淀粉,盐,大葱,酱油,白糖,干辣椒,八角,生姜,鸡蛋]",烧,家常味,初级入门,15
70,香煎黄花鱼,[黄花鱼],"[花生油,盐,大葱,小麦面粉,生姜,大蒜,淀粉,胡椒粉]",煎,鱼香味,中级掌勺,15
71,玉米鱼丁,"[鲤鱼,玉米]","[花生油,盐,胡椒粉,淀粉,辣椒,青椒,大葱,鸡蛋]",炒,家常味,初中水平,15
72,凉拌辣椒油金针菇,[金针菇],"[大蒜,酱油,醋,辣椒,盐,鸡精,香菜,花生油]",拌,香辣味,未知,10
73,荷塘小炒,"[荷兰豆,莲藕,黑木耳]","[花生油,胡萝卜,盐,酱油,大葱,大蒜]",炒,家常味,新手尝试,5
74,蔬菜鱼饼,"[鳕鱼,胡萝卜,西兰花,香菇,山药,玉米,小麦面粉]","[花生油,盐,柠檬]",烙,家常味,新手尝试,10
75,清炒土豆丝,[土豆],"[花生油,盐,鸡精,醋,辣椒,大葱,香菜]",炒,家常味,未知,30
76,蚂蚁上树,"[猪肉,粉丝]","[大葱,料酒,酱油,白糖,盐,胡椒粉,花生油,生姜]",煮,咸鲜味,初级入门,15
77,鱼露红烧肉,"[猪肉,鱼露]","[花生油,盐,酱油,料酒,生姜,大蒜,冰糖]",烧,家常味,新手尝试,30
78,南瓜盅豉香蒸排骨,"[南瓜,排骨,豆豉]","[大葱,生姜,蚝油,料酒,花生油,酱油,盐]",蒸,家常味,初级入门,90
79,红烧排骨,[排骨],"[料酒,酱油,干辣椒,花生油,白糖,生姜,大蒜,小葱,胡椒粉,八角,芝麻]",红烧,家常味,初级入门,60
80,香菇炒猪肉,"[猪肉,香菇]","[花生油,盐,料酒,酱油,青椒,蚝油,生姜,大葱,大蒜]",炒,家常味,新手尝试,10
81,大葱爆猪肝,"[猪肝,大葱]","[花生油,胡萝卜,青椒,盐,酱油,淀粉,胡椒粉,生姜,大蒜,料酒]",炒,家常味,初级入门,10
82,鱿鱼炒芹菜,"[鱿鱼,芹菜]","[花生油,猪肉,盐,料酒,白糖]",炒,家常味,新手尝试,10
83,南瓜虾煲,"[南瓜,虾]","[盐,花生油,大葱,生姜]",煲,咸鲜味,未知,15
84,炸裂鸡翅,[鸡翅],"[花生油,小麦面粉,淀粉,盐,白糖,五香粉,花椒,蚝油,大蒜]",炸,家常味,未知,30
85,鲜味蕨菜炒腊肉,"[蕨菜,腊肉]","[花生油,盐,大蒜,辣椒,酱油]",炒,家常味,初中水平,10
86,无油炸鸡翅,[鸡翅],"[花生油,盐,胡椒,料酒,淀粉,孜然,辣椒粉,大蒜,生姜]",炸,香辣味,新手尝试,15
87,水煮肉片,[猪肉],"[干辣椒,黄豆芽,大葱,大蒜,豆瓣酱,淀粉,料酒,盐,花椒,辣椒油,酱油,鸡精,白糖,花生油]",煮,麻辣味,中级掌勺,30
88,酱油卤肉,"[猪肉,酱油]","[花生油,盐,白糖,冰糖,大葱,八角]",卤,其它口味,新手尝试,90
89,黄豆芽茼蒿火腿炒粉条,"[黄豆芽,茼蒿,粉条,火腿]","[花生油,胡萝卜,盐,味精,大蒜]",炒,家常味,未知,15
90,蚵仔煎,"[牡蛎,鸡蛋]","[料酒,淀粉,盐,胡椒粉,大葱,花生油]",煎,咸鲜味,新手尝试,10
91,凉拌鸡爪,[鸡爪],"[酱油,香菜,辣椒酱,八角,芝麻,香叶,生姜,醋,花生油]",拌,香辣味,新手尝试,30
92,大蒜香花刀红烧鱼,"[鲤鱼,大蒜]","[胡椒粉,花生油,盐,白糖,醋,大葱,生姜,辣椒,料酒,八角,酱油,淀粉]",烧,大蒜香味,初中水平,30
93,电饭煲版茄汁豆腐盒,"[豆腐,小麦面粉]","[花生油,猪肉,鸡蛋,豆瓣酱,番茄酱,酱油,料酒,盐,大葱,生姜,白糖]",烧,酸甜味,新手尝试,30
94,凉拌鱼腥草,[鱼腥草],"[花生油,花生,辣椒粉,大蒜,酱油,醋,大葱,芝麻]",拌,香辣味,中级掌勺,10
95,豉汁猪大肠,"[豆豉,猪大肠]","[花生油,盐,小麦面粉,醋,料酒,大蒜,酱油]",焖,家常味,初级入门,15
96,酱爆鸡丁,[鸡肉],"[辣椒,黄瓜,大葱,料酒,淀粉,豆瓣酱,番茄酱,花生油,白糖,盐]",炒,酱香味,初中水平,15
97,汉方生姜母鸭,[鸭肉],"[熟地,当归,枸杞子,党参,桂皮,生姜,盐,花生油,冰糖]",炖,生姜味,初中水平,2
98,蜜汁叉烧肉,[猪肉],"[花生油,蚝油,白糖,料酒,盐,大葱,生姜,酱油,大蒜,辣椒酱]",烧,甜味,初级入门,60
99,避风塘炒虾仁,[虾仁],"[花生油,生姜,大葱,辣椒,盐,大蒜,面包]",炒,咸鲜味,初级入门,30
100,大葱烧赛鹿筋,"[腐竹,大葱]","[酱油,蚝油,料酒,冰糖,淀粉,花生油]",烧,家常味,未知,60
101,莴笋拌黑木耳,"[莴笋,黑木耳]","[椒盐,大蒜,酱油,盐,味精,醋,白糖,花生油]",拌,家常味,新手尝试,10
102,湛江生姜鸡肉肉厨,[鸡肉],"[酱油,花生油,盐,大葱,大蒜,生姜]",煮,家常味,厨神级,2
103,水煮肉片,[猪肉],"[黄豆芽,花椒,辣椒粉,豆瓣酱,淀粉,大蒜,干辣椒,大葱,料酒,盐,酱油,鸡精,白糖]",煮,麻辣味,新手尝试,15
104,豆腐皮蒸肉卷,"[豆腐皮,猪肉]","[花生油,盐,五香粉,生姜,大蒜,香菜,芝麻,大葱,酱油,醋,蚝油,辣椒]",蒸,家常味,中级掌勺,15
105,猪肉豆腐烧冬瓜,"[猪肉,豆腐,冬瓜]","[大蒜,辣椒,料酒,酱油,花生油,盐]",烧,家常味,初级入门,30
106,酱三文鱼,[三文鱼],"[大葱,干辣椒,花生油,酱油,料酒,蚝油,盐]",炖,家常味,未知,30
107,香炸多春鱼,[多春鱼],"[花生油,鸡蛋,淀粉,小麦面粉,料酒,盐,生姜,大葱]",炸,家常味,新手尝试,30
108,香菇烧鸡腿,"[鸡腿,香菇]","[花生油,胡萝卜,辣椒,大葱,生姜,料酒,冰糖,大蒜,蚝油,酱油,盐]",炖,咸鲜味,初级入门,60
109,凉拌松花蛋,[松花蛋],"[酱油,醋,白糖,盐,芝麻,大蒜,大葱,青椒,花生油]",拌,咸鲜味,新手尝试,5
110,白糖醋排骨,[排骨],"[料酒,酱油,白糖,醋,盐,大葱,生姜,淀粉,花生油]",烧,酸甜味,新手尝试,30
111,清蒸鱼,[鲈鱼],"[大葱,鹌鹑蛋,花生油,鱼肝油,生姜,盐,料酒,辣椒,莲藕,面条]",蒸,咸鲜味,未知,15
112,好吃的酱油炒饭,"[大米,酱油]","[花生油,黄瓜,胡萝卜,小葱,生姜,火腿,鸡蛋,盐]",炒,家常味,初中水平,15
113,酥脆烤鸭,[鸭肉],"[酱油,盐,豆瓣酱,花生油,料酒]",烘焙,咸鲜味,未知,60
114,凉拌菠菜,[菠菜],"[盐,花生,酱油,白糖,醋,大蒜,辣椒油]",拌,家常味,新手尝试,5
115,芒果牛肉粒,"[牛肉,芒果]","[盐,胡椒粉,酱油,蚝油,白糖,黄油,花生油]",炒,家常味,未知,30
116,辣子鸡翅,[鸡翅],"[花生油,盐,辣椒,蚝油,酱油,白糖,鸡蛋,淀粉,豆瓣酱]",炸,家常味,新手尝试,15
117,麻辣比目鱼,[比目鱼],"[花生油,盐,白糖,醋,酱油,大葱]",烧,麻辣味,未知,30
118,手工肉丸,[猪肉],"[花生油,大葱,生姜,盐,白糖,料酒,胡椒粉,淀粉,紫菜,腐乳]",煮,咸鲜味,未知,15
119,金玉满堂,"[米粉,小麦面粉,莲藕]","[大蒜,醋,盐,白糖,辣椒,豆瓣酱,花椒]",蒸,家常味,新手尝试,15
120,鲳鱼炖豆腐,"[鲳鱼,豆腐]","[料酒,酱油,盐,豆瓣酱,花生油,生姜,大蒜,大葱,干辣椒]",炖,咸鲜味,初级入门,30
121,豆豉排骨煲仔饭,"[大米,排骨,豆豉]","[花生油,香菇,生姜,酱油,蚝油,料酒,盐,白糖,胡椒粉]",焖,咸鲜味,新手尝试,30
122,干煸四季豆,[四季豆],"[干辣椒,猪肉,白糖,生姜,大蒜,大葱,盐,花生油]",干煸,咸鲜味,中级掌勺,10
123,胡萝卜黑麦机车章鱼面包,"[小麦面粉,胡萝卜,章鱼]","[红豆,香肠,黄油,白糖,盐,奶油,苏打粉]",烘焙,甜味,初中水平,90
124,酱汁蒸烤菌菇,"[金针菇,蘑菇,蟹味菇,香菇]","[猪肉,蚝油,花生油,盐,辣椒酱,大蒜,胡椒粉]",烤,咸鲜味,初级入门,15
125,麻辣小龙虾,[小龙虾],"[生姜,大葱,花椒,豆瓣酱,干辣椒,香叶,八角,草果,桂皮,孜然,料酒,酱油,盐,鸡精,白糖]",炒,麻辣味,初级入门,60
126,核桃鸡丁炒饭,"[大米,鸡肉,核桃]","[大葱,淀粉,花生油,料酒,盐,生姜]",炒,家常味,初级入门,30
127,西芹百合,"[芹菜,百合]","[花生油,大葱,生姜,胡椒,盐,文蛤]",炒,家常味,未知,10
128,腐竹蚝油焖鸭,"[蚝油,鸭肉,腐竹]","[酱油,胡椒,白糖,盐,生姜,大葱,花生油]",焖,家常味,初级入门,60
129,白糖醋猪肉,[猪肉],"[花生油,胡椒粉,鸡蛋,白糖,芝麻,生姜,大葱,料酒,醋,番茄酱,淀粉,盐,鸡精]",焖,酸甜味,未知,30
130,香辣水煮鱼,[草鱼],"[花生油,盐,料酒,鸡精,花椒,干辣椒,大蒜,生姜,酱油,胡椒]",煮,香辣味,未知,30
131,红烧黄鱼,[黄鱼],"[花生油,盐,胡椒粉,料酒,酱油,大葱,淀粉]",烧,咸鲜味,未知,30
132,辣椒香菇酿肉,"[猪肉,香菇]","[辣椒,胡萝卜,酱油,生姜,大蒜,大葱,料酒,醋,蚝油,白糖,淀粉,盐]",煎,香辣味,新手尝试,15
133,青田蛋面,[鸡蛋],"[花生油,茭白,猪肉,鸡腿菇,芹菜,酱油,辣椒,盐,淀粉]",煮,家常味,初级入门,10
134,茄汁豆腐,[豆腐],"[花生油,西红柿,盐,酱油,大葱]",烧,家常味,初中水平,30
135,麻辣牛肉干,[牛肉],"[生姜,辣椒,孜然,八角,辣椒粉,芝麻,酱油,花生油,料酒,白糖,五香粉,花椒,大葱,辣椒油,盐]",烤,麻辣味,初级入门,60
136,蛋炒饭,"[大米,鸡蛋]","[花生油,盐,小葱,酱油]",炒,家常味,新手尝试,5
137,金玉满堂,"[辣椒,胡萝卜,玉米,虾仁,豌豆]","[鸡精,盐,花生油]",炒,咸鲜味,新手尝试,5
138,竹笋鸡球,"[竹笋,鸡肉]","[酱油,胡椒粉,料酒,花生油,辣椒,盐]",炒,家常味,新手尝试,10
139,烧烤风味生煎包,"[猪肉,小麦面粉]","[盐,苏打粉,青椒,大蒜,大葱,淀粉,蚝油,孜然,鸡精,花生油]",煎,家常味,初级入门,30
140,香酥肉饼,"[小麦面粉,猪肉]","[盐,五香粉,大葱,鸡精,胡椒粉,蚝油,花生油]",煎,家常味,初级入门,30
141,荷兰豆炒肉片香肠,"[荷兰豆,香肠,猪肉]","[花生油,盐,鸡精,大蒜,酱油]",炒,家常味,新手尝试,10
142,煎带鱼,[带鱼],"[盐,胡椒粉,五香粉,料酒,淀粉,花生油]",煎,咸鲜味,未知,60
143,咖喱牛腩饭,"[牛腩,咖喱]","[花生油,土豆,胡萝卜,大葱,牛奶,黄油,生姜,料酒,酱油,奶酪,盐]",炖,咖喱味,初级入门,2
144,懒人版排骨焖饭,"[排骨,大米]","[大葱,白糖,花生油,盐,酱油,八角,香叶,生姜,料酒,桂皮]",煮,咸鲜味,初级入门,60
145,凉拌黄瓜,[黄瓜],"[洋葱,辣椒油,黑木耳,花生油,大蒜,辣椒,酱油,醋,盐,白糖]",拌,家常味,未知,10
146,白糖醋排骨,[排骨],"[冰糖,醋,生姜,料酒,盐,芝麻,花生油,淀粉,酱油]",烧,酸甜味,初中水平,60
147,拌牛肉,[牛肉],"[大蒜,白糖,酱油,花生油,盐,醋,辣椒油,芝麻,生姜,辣椒,八角,香菜]",拌,家常味,新手尝试,60
148,宫保鸡丁,"[鸡肉,黄瓜,花生]","[花生油,生姜,盐,花椒,料酒,淀粉,大葱,醋,白糖,干辣椒,大蒜]",炒,咸鲜味,初级入门,15
149,鸡肉韭菜饺子,"[小麦面粉,韭菜,鸡肉]","[酱油,花生油,淀粉,盐,豆腐干,胡椒粉,味精,蚝油]",煎,咸鲜味,未知,2
150,东北酱骨头,[猪骨],"[豆腐,花生油,盐,酱油,八角,生姜,冰糖,干辣椒,大葱,桂皮,大蒜,料酒]",酱,咸鲜味,初中水平,60
151,椒香鸡翅,[鸡翅],"[酱油,白糖,料酒,盐,花生油,生姜,花椒,辣椒]",煎,椒麻味,初级入门,15
152,凉拌山药,[山药],"[大蒜,胡萝卜,花生油,酱油,醋,白糖,盐]",拌,家常味,新手尝试,10
153,大葱炒鸡肉,"[鸡肉,大葱]","[花生油,酱油,盐,辣椒酱,粉条,大蒜]",炒,咸鲜味,新手尝试,15
154,鸡蛋豆腐蒸虾仁,"[虾仁,鸡蛋,豆腐]","[花生油,盐,大葱,料酒,酱油]",蒸,咸鲜味,新手尝试,15
155,黄花菜烧猪肉,"[花菜,猪肉]","[冰糖,酱油,生姜,盐,花生油]",炖,咸鲜味,初级入门,15
156,红烧羊排,[羊排],"[大葱,桂皮,八角,孜然,冰糖,花生油,盐,胡萝卜,酱油,生姜,大蒜,料酒]",烧,家常味,新手尝试,15
157,荠菜水饺,"[猪肉,小麦面粉,荠菜]","[菠菜,韭菜,盐,大葱,生姜,蚝油,酱油,花生油]",煮,家常味,初级入门,15
158,白糖醋荷包蛋,"[鸡蛋,白糖]","[酱油,醋,盐]",煎,酸甜味,初级入门,15
159,香辣黑木耳炒猪肉,"[黑木耳,猪肉]","[花生油,盐,料酒,酱油,生姜,辣椒,大蒜]",炒,香辣味,中级掌勺,10
160,腊肉香菇菠菜,"[腊肉,菠菜]","[生姜,花生油,料酒,酱油,盐,鸡精]",炒,家常味,未知,30
161,回锅肉炒胡萝卜,"[猪肉,胡萝卜]","[花生油,盐,豆瓣酱,干辣椒,花椒,蒜苗,料酒]",炒,家常味,初级入门,10
162,清蒸黄鱼,[黄鱼],"[生姜,大葱,胡椒粉,酱油,花生油,盐]",蒸,家常味,未知,10
163,无油红烧肉,[猪肉],"[生姜,八角,淀粉,桂皮,香叶,大葱,酱油,冰糖,盐,小葱,料酒,大蒜]",烧,家常味,初中水平,60
164,白糖醋三文鱼丁,[三文鱼],"[醋,白糖,盐,花生油,胡椒粉,大葱]",炒,酸甜味,未知,30
165,红烧带鱼,[带鱼],"[大蒜,生姜,大葱,花生油,料酒,酱油,盐,干辣椒,淀粉,白糖]",烧,咸鲜味,未知,30
166,鲜香卤鸡胗,[鸡胗],"[冰糖,酱油,生姜,八角,香叶,盐,料酒,大葱]",煮,家常味,未知,60
167,流汁麻酱粉条,[粉条],"[大蒜,盐,芝麻酱,辣椒,大葱,辣椒粉,香菜,芝麻,花椒,花生油,酱油,蚝油]",拌,香辣味,未知,5
168,泡菜毛豆,"[毛豆,泡菜]","[大蒜,花生油,盐,料酒,酱油]",烧,咸鲜味,未知,30
169,芦笋牛肉条配面条,"[牛肉,芦笋,面条]","[花生油,盐,大葱,黄油,淀粉,酱油,豆瓣酱]",炒,咸鲜味,未知,15
170,凉拌松花蛋,[松花蛋],"[盐,芝麻,大蒜,白糖,大葱,酱油,醋,青椒,花生油]",拌,家常味,未知,10
171,咸鱼白萝卜,"[咸鱼,白萝卜]","[花生油,蚝油,盐,白糖,生姜,大葱]",蒸,家常味,新手尝试,15
172,广东炒斋河,[粉条],"[花生油,黄豆芽,大蒜,大葱,盐,酱油,蚝油]",炒,家常味,新手尝试,5
173,咖喱鸡肉饭,"[大米,鸡肉,咖喱]","[生姜,大葱,土豆,胡萝卜,洋葱,大蒜,盐,酱油,花生油,料酒,蚝油]",煮,香辣味,初级入门,10
174,大葱炒蛋,"[大葱,鸡蛋]","[花生油,白糖,盐]",炒,咸鲜味,未知,10
175,凉拌花甲粉,"[文蛤,粉丝]","[花生油,大葱,大蒜,辣椒,柠檬,香菜,蚝油,鱼露,盐,酱油,白糖]",拌,酸辣味,新手尝试,10
176,肉松手撕包,[小麦面粉],"[番茄酱,鸡蛋,苏打粉,白糖,牛奶,黄油,盐]",烤,其它口味,初中水平,60
177,大蒜蓉粉丝香菇酿,"[香菇,粉丝,大蒜]","[花生油,鸡精,酱油,蚝油,盐,大葱,辣椒]",蒸,大蒜香味,初级入门,30
178,油金饺,[小麦面粉],"[花生油,豇豆,猪肉,盐,酱油,料酒,苏打粉]",煎,家常味,初级入门,15
179,什锦榨菜小炒,"[茭白,榨菜,胡萝卜,猪肉]","[花生油,大葱,盐,白糖,酱油,料酒]",炒,家常味,初级入门,15
